NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
170001664728,35134806,690.5,34,723.9,33,627.3,33,830.1,31
170001664496,35563006,629.5,25,606.1,20,586.7,25,742,25
170001675752,35134806,734.9,37,693.3,29,667.9,38,835.9,32
170001669938,35134806,637,27,627.4,16,591.6,28,815.3,28
170005047209,35563006,683,32,672.9,26,570.3,24,713.3,21
170003332284,35134806,692.1,33,673.4,24,646.5,36,734.3,21
170005077286,35134806,722.5,35,709.5,32,647.9,36,908.4,36
170000044085,35286187,628,24,582.1,17,619.9,30,765.5,23
170005062039,35134806,669.3,29,691.7,31,635.9,35,753.8,23
170005084111,35134806,683.5,30,701.9,31,601.4,30,759.3,24
170005085460,35134806,615.9,25,623.7,21,582.7,26,703.4,16
170000025541,35563006,665,28,662.4,24,580.4,26,566.6,13
170003424179,35134806,605.4,22,510.4,8,540.6,22,624.1,18
170001731085,35134806,656.3,29,635.2,20,578.5,27,651.7,18
170001747308,35286187,651.7,30,583.7,16,581.5,28,533.2,9
170001739812,35563006,676.1,31,605.2,18,640.9,35,720.6,22
170003437661,35286187,617,23,598.6,16,585.8,28,638.9,15
170003434892,35134806,573.2,16,632.9,22,620.8,33,750.5,23
170000089670,35134806,599.8,20,639.2,23,618.5,32,814.1,28
170000089674,35286187,608.8,25,697.2,28,624,33,784.2,26
170003445952,35134806,718.1,35,727.3,34,619.6,31,817.2,29
170005144571,35563006,649.2,29,716.8,31,583.8,29,920.9,39
170003448757,35134806,679.3,30,696.7,30,623,34,930.3,38
170003449117,35134806,689.2,35,681.9,26,614.3,30,682.6,19
170005152496,35134806,703.8,33,715.7,30,676.3,39,785.3,27
170003430931,35134806,588.4,22,708,32,586.4,28,808.6,29
170001753591,35134806,663,31,679,26,642.9,35,682.8,20
170001760522,35134806,745.1,37,559.6,17,658.3,35,694.4,20
170001766683,35563006,612.7,25,733.9,35,547,21,845.2,31
170000107828,35134806,692.2,33,641.7,21,585.6,28,763.4,23
170000112388,35134806,693.8,32,593.9,16,656,35,749.6,22
170000118622,35134806,666.9,30,633.8,19,596.6,28,782.7,26
170000120267,35134806,598.5,22,695.7,31,588.8,29,791.6,26
170000110412,35134806,709.6,34,667.9,24,631.9,33,701.4,19
170000122026,35134806,699.9,35,671,24,650.8,36,834.8,32
170000103536,35563006,664.2,29,640.5,21,630.1,33,751.3,25
