NU_INSCRICAO,CO_ESCOLA,NU_ACERTOS_CH,NU_ACERTOS_CN,NU_ACERTOS_LC,NU_ACERTOS_MT
160000272507,35134806,32,29,31,28
160000355923,35134806,27,20,22,9
160000557149,35134806,24,17,31,23
160000686284,35563006,24,16,30,16
160001106486,35563006,34,37,34,17
160008522960,35286187,32,18,20,24
160001155955,35134806,26,28,19,30
160001188588,35286187,30,25,32,41
160001267581,35563006,36,28,26,31
160001215512,35286187,35,28,27,30
160001268801,35563006,29,21,33,21
160001688190,35134806,30,20,25,35
160001656402,35134806,26,33,29,15
160001649708,35134806,31,30,26,15
160002071218,35134806,26,15,27,37
160001178745,35134806,28,15,30,29
160001952896,35134806,22,37,34,14
160001978454,35563006,36,26,15,14
160002050593,35134806,30,20,17,15
160001849163,35134806,24,14,21,30
160001853109,35134806,26,15,27,20
160000038421,35134806,25,29,24,20
160000013995,35563006,28,25,20,32
160000671262,35134806,24,17,31,36
160000642629,35134806,28,32,27,37
160000652299,35134806,32,34,24,12
160008622738,35286187,32,33,31,32
160001794357,35134806,30,27,33,23
160001787430,35563006,30,29,26,19
160001770123,35134806,28,36,33,36
160001766654,35134806,29,31,27,35
160001817189,35134806,32,16,25,20
160001764024,35563006,26,28,36,31
160001810717,35563006,24,40,22,31
160002128334,35134806,36,26,28,36
160002136184,35286187,25,35,26,37
160002104769,35286187,33,26,28,32
160008571632,35134806,36,22,28,38
160002108415,35134806,28,36,30,34
160002104937,35134806,29,33,33,37
160008623268,35286187,28,34,24,40
160002144643,35134806,33,32,35,31
160002151799,35563006,34,40,31,32
160000523421,35134806,36,31,28,36
160000530250,35134806,31,39,36,41
160000413937,35134806,31,39,25,31
160000430353,35134806,36,35,33,23
160000446658,35563006,29,36,36,33
160000447294,35134806,35,40,24,17
160000407040,35134806,29,29,21,37
160000409908,35134806,40,35,29,33
160000426369,35134806,31,19,36,19
160000416841,35134806,33,27,33,27
160000423253,35286187,26,13,24,40
160000410787,35286187,30,41,33,36
160000616607,35563006,31,38,27,14
160001237920,35134806,37,18,34,36
