NU_INSCRICAO,CO_ESCOLA,NU_ACERTOS_CH,NU_ACERTOS_CN,NU_ACERTOS_LC,NU_ACERTOS_MT
170005377381,35134806,27,9,33,29
170000468071,35134806,23,23,27,19
170003763987,35134806,34,22,36,12
170002290318,35134806,31,36,32,20
170003933097,35134806,16,19,23,22
170002151080,35134806,19,15,31,21
170000580425,35286187,29,28,31,35
170002154215,35286187,39,24,23,24
170002266709,35286187,25,26,23,30
170005473677,35286187,16,25,29,17
170002154627,35134806,31,25,31,22
170000487451,35286187,27,31,36,17
170002286050,35134806,25,20,32,15
170005476797,35134806,32,21,27,31
170000490301,35286187,28,23,20,15
170002148499,35286187,27,18,33,17
170003897071,35134806,25,28,32,28
170003936943,35134806,29,25,35,20
170003745238,35134806,24,14,27,28
170000566810,35134806,28,18,23,32
170000591559,35286187,29,36,33,40
170002272839,35134806,32,26,28,28
170000587609,35134806,16,28,25,13
170002154299,35134806,35,43,28,26
170002160436,35286187,31,23,31,27
170002283486,35134806,28,11,31,36
170002157658,35134806,31,26,29,19
170003925064,35286187,37,19,15,36
170000471328,35286187,29,29,30,28
170003765461,35134806,15,26,32,38
170003950969,35134806,24,41,28,26
170002249489,35134806,23,26,29,27
170000486897,35286187,28,25,34,17
170003756614,35134806,24,31,32,33
170003952998,35134806,32,27,16,25
170003937420,35134806,29,29,38,33
170000468430,35134806,24,23,26,17
170003919275,35134806,26,30,29,21
170002148329,35134806,36,18,28,14
170005647802,35134806,27,10,34,22
170000576254,35286187,34,27,31,32
170005623304,35134806,36,17,32,22
170001993878,35134806,28,17,32,23
170001974043,35286187,29,34,29,30
170005353811,35134806,27,24,31,22
170003641724,35286187,18,13,33,26
170000350360,35286187,27,27,37,25
170003652136,35134806,30,29,21,28
170002043797,35286187,34,21,33,15
170000376416,35286187,29,20,31,9
170000379123,35134806,31,34,23,27
170000388859,35134806,28,20,29,32
170000391944,35134806,26,18,31,24
170000392291,35134806,28,24,39,25
170000373996,35286187,26,28,36,27
170000371069,35286187,25,19,32,11
170000383852,35563006,27,28,33,22
170005414989,35134806,33,22,29,16
170005424332,35134806,32,24,28,31
170003741278,35134806,17,14,31,24
170005445031,35134806,25,28,29,28
170005406170,35286187,30,22,40,33
170002056096,35134806,29,24,30,31
170002069915,35134806,34,15,25,33
170000400834,35563006,25,26,30,22
170000398717,35134806,22,27,29,30
170000407501,35563006,21,24,35,31
170002058240,35134806,29,29,30,17
170002050039,35134806,24,29,31,28
170002065724,35286187,30,30,20,32
170002053571,35134806,31,23,34,23
170002065022,35134806,27,27,33,13
170002052111,35563006,34,21,36,25
170003739998,35286187,30,25,36,27
170003741569,35134806,24,19,28,26
170005448360,35563006,34,31,26,32
170002070615,35134806,30,28,28,31
170002069272,35563006,34,20,35,24
170002066362,35134806,26,31,30,26
170000406332,35134806,27,19,30,30
170000413903,35134806,28,32,21,17
170000407710,35286187,22,19,32,11
170000406990,35134806,20,20,33,28
170000395906,35134806,29,21,26,16
170000414654,35134806,29,27,25,31
170005445602,35134806,34,21,28,27
170002079012,35286187,28,25,29,22
170002079234,35134806,29,21,36,23
170002083658,35134806,20,25,29,31
170002084749,35286187,32,27,32,24
170002074957,35134806,21,23,23,29
170002081764,35286187,22,23,35,24
170002094824,35134806,25,20,30,17
170002085047,35134806,25,22,28,9
170002086323,35134806,26,20,23,29
170005439942,35134806,13,24,30,11
170003739737,35134806,30,25,27,15
170003741103,35134806,30,13,27,35
170005447815,35134806,29,25,38,27
170003756770,35286187,29,35,32,27
170002121399,35134806,27,22,25,16
170003751517,35134806,20,28,38,13
170005473532,35134806,28,17,31,25
170003781949,35286187,23,19,26,20
170005498393,35563006,28,23,27,23
170005495492,35134806,33,27,31,17
170002135286,35134806,34,14,33,27
170003786517,35134806,26,23,38,26
170000460616,35134806,29,24,36,38
170002133078,35134806,33,30,28,32
170003810002,35134806,31,29,27,23
170000442323,35134806,26,30,38,27
170000479287,35134806,32,24,30,27
170000479610,35286187,25,24,28,20
170002162513,35134806,22,23,32,19
170003824635,35134806,36,20,35,19
170003824670,35286187,29,17,27,20
170002159946,35134806,13,18,27,30
170003816666,35134806,28,24,30,32
170005511269,35286187,31,24,17,19
170000467407,35134806,35,16,30,16
170000479261,35134806,27,33,32,23
170002169113,35134806,25,16,30,22
170002162973,35134806,26,26,32,24
170000471911,35563006,26,26,28,25
170002170437,35134806,18,28,29,27
170003827613,35134806,28,27,28,20
170005514456,35286187,15,18,21,17
170005517934,35563006,19,23,24,23
170005521229,35134806,31,16,19,15
170005546596,35134806,36,17,38,16
170003836925,35134806,28,17,37,20
170003828294,35134806,25,23,28,22
170005529025,35286187,27,14,29,23
170003840557,35286187,29,19,30,27
170005547426,35134806,26,23,33,26
170005538231,35134806,26,25,24,22
170003836311,35286187,26,24,31,20
170000504022,35134806,30,17,35,13
170002181121,35134806,30,23,30,17
170000500432,35563006,23,24,36,28
170002193459,35134806,28,21,26,26
170000502151,35134806,26,16,29,26
170000492176,35134806,32,28,28,26
170002180778,35134806,24,29,32,21
170002179002,35563006,23,30,28,24
170002179024,35134806,32,19,35,21
170002179268,35286187,24,22,34,35
170003822645,35134806,32,12,31,19
170005532871,35134806,30,35,35,23
