NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
150003064085,35134806,664.1,31,693.3,32,649,33,870.4,34
150003062241,35134806,645.6,29,697.3,30,657.1,34,699.8,22
150003032752,35286187,678.2,34,662.8,27,605.3,33,636.5,19
150003086312,35286187,698.4,34,685.4,29,537.5,20,763.3,28
150003020038,35134806,659.3,28,484.2,16,654.9,34,530.5,12
150003045845,35134806,704.6,36,667.6,26,630,31,629.4,19
150003046720,35134806,683.5,35,734.4,34,651,35,771.6,26
150003068038,35134806,679.9,33,643.7,23,593.9,26,671.5,21
150003065299,35134806,640.4,27,696,31,661.7,34,791.3,26
150003064997,35134806,723.9,38,721.9,36,640.6,30,805.3,31
150003101477,35134806,623.7,23,694.9,31,683.7,36,623.4,17
150003025874,35134806,744.3,40,722.5,35,587.1,28,773.9,27
150003139392,35134806,698.9,36,442.9,12,605.4,32,612.1,18
150003069224,35134806,708.5,37,664.2,25,578.6,26,923.9,39
150002995230,35134806,762.2,40,617.4,19,593.5,31,637.6,21
150003105681,35134806,673.2,33,705.5,29,590.1,27,729,24
150003098444,35134806,589.8,21,650.4,23,612.5,30,906.7,36
150003101904,35286187,638,27,646.3,22,639.8,34,477.5,18
150003131545,35134806,689.2,35,702.9,31,515.8,18,988.1,41
150003118106,35286187,697.6,35,649.7,26,651.3,33,556.5,14
150003077854,35134806,655.2,30,497.2,13,592.4,27,818.8,30
150003109154,35134806,655.4,28,688.6,30,610.8,30,452.8,8
150003078376,35286187,710.4,36,646.4,23,642.2,34,611.3,18
150003139567,35563006,694.3,34,711.2,33,596.7,30,800.9,29
150003135665,35134806,604.9,21,658.9,24,605.1,29,879.5,34
150003089345,35134806,646,27,615.1,20,649,35,685.2,20
150003081860,35134806,677.4,31,686.7,30,617,29,844.9,34
150003082976,35134806,681.8,35,595,19,602.7,33,722.3,25
150003113376,35134806,635.3,27,672.7,27,592.4,25,951.5,38
150003126618,35134806,632.9,26,579.1,17,679.5,36,693.1,20
150003156232,35134806,667,29,551.5,14,548.8,22,862.2,34
150003098181,35134806,674.3,32,771.9,39,660.1,33,795.2,29
150003116730,35286187,683.3,36,535.3,15,652.9,35,822.6,31
150003111236,35134806,673.5,32,602,19,518.2,18,600.7,16
150003093918,35134806,672.5,33,717.5,34,741.3,40,698.9,21
150003180732,35134806,638,27,525.3,14,581.5,26,938,39
150003164019,35134806,729.8,37,527.1,14,643.3,33,885.8,35
150003165642,35134806,559.3,16,701.3,31,536.6,20,732.1,25
150003152793,35286187,670.8,30,584.5,18,530.3,21,606.1,15
150003186546,35563006,737.6,40,473.8,12,549.2,22,740.5,27
150003134394,35134806,525.8,15,619.1,18,657.4,35,803.5,28
150003138770,35134806,701.7,35,678,29,589.8,27,849.7,32
150003172016,35134806,615.2,22,445.4,9,570.6,28,759.6,26
150003129275,35134806,636.6,26,639.3,22,651.4,34,791.1,30
150003133697,35134806,557.9,18,710.9,34,728,39,917.4,36
150003148528,35134806,637.5,27,708.8,31,592.3,29,608.5,17
150003113023,35134806,699.4,37,673.6,30,578.9,27,834.4,32
150003166209,35134806,632.5,27,853.6,43,685.9,37,789.8,30
150003168816,35134806,665.9,32,539.3,14,639.5,33,701.7,21
150003168847,35563006,691.1,35,659.8,25,642.1,34,829.9,32
150003149761,35134806,645.9,28,707.8,34,599.8,28,447.1,12
150003206817,35563006,728.4,38,664.9,27,629.3,31,629,17
150003158362,35563006,730,39,751.2,36,599.4,26,707.8,23
150003170644,35134806,596.8,25,640.6,22,563.3,27,787.5,29
150003225878,35134806,627.3,25,660.7,27,645.7,33,521.9,15
150003212802,35134806,753,41,693.2,31,550.9,25,981.4,43
150003196480,35286187,659,30,694.2,32,600.1,29,750.5,25
150003175796,35134806,677.1,31,656.4,23,617.1,30,547.4,15
150003175862,35134806,610.5,24,663.1,27,624.2,31,680.1,22
150003146303,35134806,622.3,25,648.8,23,623.1,32,642.7,19
150003226840,35134806,671.6,31,665.4,27,661,36,822,30
150003173316,35134806,668,29,764.5,39,600.9,31,883.4,37
150003151631,35134806,635.3,29,634.7,21,585,25,902.1,37
150003221555,35134806,664.7,29,672.7,25,640.1,34,680.1,19
150003211965,35286187,662.8,29,688,28,622.4,31,573.1,14
150003208851,35286187,662.5,30,727.4,34,694.6,36,737.1,24
150003239099,35134806,701.1,36,703.9,35,654.5,33,703.6,22
150003230278,35134806,636.9,26,702.5,31,569.8,28,580.8,15
150003178688,35134806,693.3,36,710.7,31,662.9,38,637.4,17
150003251725,35134806,663.8,31,690.7,30,630.9,32,615.7,15
150003184001,35134806,720,39,710.5,32,634,33,733,22
150003233073,35134806,661.4,30,619.3,21,653.9,33,764.6,28
150003248688,35286187,688.1,36,567.7,14,581,27,571.5,16
150003179755,35286187,711.8,36,564.4,15,598.4,27,824.6,30
150003216149,35563006,695.4,37,641.1,23,592.9,29,658.6,18
150003201335,35286187,694.6,34,491.5,13,693.7,38,967.6,39
150003292519,35134806,669.5,31,786.7,40,680.6,36,864.4,34
150003318626,35134806,659.9,29,721.8,34,605.2,28,971.6,40
150003336443,35286187,641.5,27,613.6,21,597.4,27,714.1,20
150003365055,35134806,644.8,28,651.3,25,630.3,31,729.8,22
150003409992,35286187,588.2,19,676.2,28,672.8,36,769.2,24
150003462796,35563006,714.5,39,630.5,22,666.9,37,722.7,23
150003411192,35563006,718.5,38,767.6,39,585.7,27,717.5,23
150003455553,35286187,653.2,29,706.3,33,619.7,29,712.5,22
150003438995,35286187,704.9,35,588.1,17,641.2,32,542.5,12
150003558004,35286187,667.6,31,606.9,20,575.6,25,946.6,39
150003612378,35134806,717.2,38,641.6,24,598.6,29,779.5,27
150003682031,35563006,744.3,39,721.5,36,678.8,35,677.6,20
150003564382,35134806,678.8,30,763.1,38,591.9,25,732.3,23
150003567866,35286187,641.3,27,523.1,15,655.2,34,709.6,23
150003680567,35134806,655.2,31,643.8,23,625.2,32,727.3,24
150003668778,35563006,609.9,27,677.7,29,618.6,29,731.3,24
150003670335,35134806,658.9,29,536.3,13,586,26,952.1,39
150003711988,35286187,696.2,35,665.5,26,570,23,740.1,25
150003677629,35134806,657.6,30,722.4,33,644.1,33,842.2,34
150003722883,35134806,707.9,36,578.1,18,601.7,31,716.5,22
150003741506,35134806,674.4,32,686.6,32,601.9,32,604.6,13
150003719946,35286187,646.9,26,655.4,25,693.8,38,585.4,16
150003806877,35134806,662.5,31,756.4,38,664.5,35,769.8,25
150003762366,35286187,616.8,24,608.4,20,622.9,30,617.8,18
150003815701,35134806,684.3,35,745.5,37,683,37,795.2,29
150003787247,35134806,671.9,31,736.3,34,581.3,24,659.9,18
150003760870,35134806,753.3,41,637,21,555,23,729.9,25
150003764352,35134806,656.4,28,445.4,12,630.9,34,792.2,33
150003812469,35563006,641.7,29,701.2,29,618.2,30,779.2,28
150003799565,35134806,691.1,34,631.6,23,647.4,34,706.4,22
150003781549,35286187,682.9,34,668.8,25,628.9,30,813,28
150003794443,35134806,615.2,23,596,20,643.9,33,738,25
150003797949,35134806,695.4,36,611.4,19,643.4,33,622.6,18
150003841940,35286187,684,33,724.2,34,643.8,33,845.1,34
150003862434,35134806,610.6,25,603.8,20,597.1,27,684.8,20
150003862483,35134806,725.6,36,593.2,19,561.9,27,670.9,19
150003811142,35134806,666.3,29,655,23,363.8,9,635.1,19
150003852240,35134806,697,33,652.7,25,603.1,29,781,27
150003888718,35134806,708.4,36,644.3,24,566.1,25,770.8,28
150003863858,35134806,661.7,30,642.5,23,557.6,22,941.9,38
150003910832,35134806,625.3,24,731.2,33,580.1,26,580.6,16
