NU_INSCRICAO,CO_ESCOLA,NU_ACERTOS_CH,NU_ACERTOS_CN,NU_ACERTOS_LC,NU_ACERTOS_MT
150000027367,35134806,33,35,33,28
150000035010,35134806,35,25,31,28
150000046845,35134806,23,11,28,17
150000071776,35134806,26,12,29,19
150000126110,35134806,40,31,36,30
150000140616,35563006,40,39,39,36
150000155412,35134806,35,23,30,28
150000192592,35286187,34,20,34,16
150000243404,35134806,36,29,30,21
150000247123,35134806,35,32,31,28
150000237523,35134806,37,20,35,37
150000252869,35134806,28,40,28,15
150000257044,35286187,36,28,31,41
150000265328,35134806,35,31,29,21
150000284652,35134806,33,21,33,24
150000289367,35134806,29,28,28,31
150000286661,35134806,34,31,35,30
150000296586,35134806,34,27,32,27
150000306238,35134806,26,31,31,25
150000307962,35134806,33,27,34,21
150000313125,35134806,31,20,29,19
150000315384,35134806,39,29,34,30
150000338298,35286187,33,14,37,16
150000337495,35286187,38,25,37,20
150000336747,35134806,24,20,22,15
150000332798,35134806,37,14,35,38
150000325546,35134806,27,33,25,35
150000323771,35134806,25,37,28,19
150000332236,35134806,27,23,36,24
150000340438,35286187,35,31,23,27
150000340936,35286187,25,23,34,18
150000344867,35286187,36,36,25,26
150000358934,35286187,35,30,31,35
150000352726,35134806,36,33,30,32
150000365170,35286187,31,29,34,24
150000375884,35134806,38,33,30,31
150000375124,35134806,36,33,32,37
150000361696,35134806,31,36,31,13
150000347070,35134806,40,14,39,21
150000367022,35134806,21,26,21,34
150000368164,35134806,33,37,34,28
150000368603,35286187,37,29,35,21
150000378810,35563006,28,16,29,29
150000349093,35134806,27,27,31,27
150000353710,35134806,25,23,27,21
150000387273,35134806,23,26,26,30
150000385986,35134806,31,27,30,28
150000383061,35286187,36,33,36,27
150000402694,35134806,32,28,30,16
150000395462,35134806,38,15,33,16
150000392847,35286187,32,26,31,28
150000404972,35134806,33,13,32,29
150000403002,35134806,26,38,25,38
150000403322,35134806,35,31,34,17
150000403913,35134806,37,39,37,20
150000376797,35134806,39,23,36,29
150000408043,35134806,34,20,30,32
150000397017,35134806,35,33,31,33
150000514638,35134806,36,25,33,15
150000502037,35134806,32,36,35,31
150000512940,35563006,38,15,36,19
150000538486,35134806,23,29,20,20
150000563018,35134806,36,19,33,25
150000530391,35134806,31,24,32,29
150000530539,35134806,29,25,27,19
150000456946,35286187,28,26,32,15
150000454957,35286187,38,18,38,18
150000441690,35286187,24,15,36,17
150000585230,35134806,28,22,25,31
150000657076,35134806,27,17,31,13
150000587216,35134806,29,26,25,21
150000649347,35134806,27,27,22,31
150000671846,35286187,35,18,32,9
150000660081,35134806,32,26,21,32
150000586172,35134806,32,16,26,35
150000566177,35286187,24,34,27,38
150000657794,35286187,35,9,29,26
150000615315,35134806,39,38,24,36
150000731415,35134806,36,31,37,23
150000731442,35134806,38,43,35,25
150000768328,35134806,28,30,30,30
150000690391,35134806,37,35,29,25
150000616738,35134806,31,25,26,33
150000699455,35134806,38,22,34,18
150000615333,35134806,35,30,36,23
150000698845,35134806,32,27,31,29
150000698796,35134806,34,26,31,21
150000752456,35134806,38,39,37,22
150000796569,35563006,17,19,20,33
150000764595,35134806,31,26,33,17
150000800057,35134806,36,33,35,20
150000804910,35286187,25,25,27,23
150000839430,35286187,31,29,31,12
150000816732,35134806,26,31,27,23
150000904673,35563006,35,18,36,25
150000990863,35563006,22,20,24,30
150001015343,35134806,28,22,27,25
150001032218,35286187,35,17,34,40
150000925136,35134806,35,21,33,21
150000945028,35134806,33,21,32,43
150000904702,35134806,30,30,24,27
150001094137,35134806,36,28,34,17
150000913991,35286187,32,18,30,11
150001110402,35134806,40,36,35,20
150000924105,35134806,30,25,30,12
150001113101,35286187,29,43,32,25
150001042760,35134806,35,27,35,26
150001028488,35134806,29,18,30,31
150001081926,35563006,25,23,23,21
150000997473,35134806,36,16,33,32
150001023917,35286187,38,14,34,33
150001146839,35134806,41,23,37,27
150001067221,35286187,26,22,29,27
150001137396,35134806,32,36,28,23
150001158861,35563006,31,17,31,30
150001144478,35563006,28,34,27,25
150001172207,35134806,28,27,39,25
150001164096,35134806,37,32,37,36
150001179773,35563006,37,29,32,30
150001154734,35134806,36,34,33,24
150001169426,35134806,40,33,33,16
150001064010,35134806,29,30,26,18
150001135245,35134806,33,36,33,38
150001141363,35134806,33,19,36,37
150001163659,35134806,26,33,29,18
150001179406,35134806,32,19,30,28
150001181992,35134806,36,37,30,15
150001202741,35134806,28,27,26,32
150001196701,35134806,29,18,30,29
150001179582,35286187,26,28,21,23
